player_name,matches_played,innings_batted,not_outs,runs_scored,highest_inns_score,batting_average,balls_faced,batting_strike_rate,hundreds_scored,fifties_scored,duckes_scored,boundary_fours,boundary_sixes
P Amarnath,6,-,-,-,-,-,-,-,-,-,-,-,-
S Anirudha,19,12,5,133,64,19,108,123.14,0,1,2,9,7
KB Arun Karthik,1,1,1,3,3*,-,5,60,0,0,0,0,0
R Ashwin,97,31,11,190,23,9.5,202,94.05,0,0,3,19,1
KM Asif,2,-,-,-,-,-,-,-,-,-,-,-,-
S Badree,4,-,-,-,-,-,-,-,-,-,-,-,-
S Badrinath,95,67,20,1441,71*,30.65,1212,118.89,0,11,6,154,28
GJ Bailey,4,3,0,63,30,21,66,95.45,0,0,0,9,0
L Balaji,29,8,2,22,15,3.66,34,64.7,0,0,3,1,1
SW Billings,10,8,0,108,56,13.5,78,138.46,0,1,1,8,5
DE Bollinger,27,4,3,21,16*,21,23,91.3,0,0,0,1,1
DJ Bravo,77,55,25,847,68,28.23,618,137.05,0,2,2,62,40
DL Chahar,12,4,1,50,39,16.66,29,172.41,0,0,1,1,4
MS Dhoni,145,131,49,3442,79*,41.97,2446,140.71,0,18,3,242,156
F du Plessis,51,45,4,1243,73,30.31,972,127.88,0,7,2,109,35
SP Fleming,10,10,1,196,45,21.77,165,118.78,0,0,1,27,3
A Flintoff,3,3,1,62,24,31,53,116.98,0,0,0,5,2
C Ganapathy,1,1,1,0,0*,-,0,-,0,0,0,0,0
MS Gony,26,9,5,50,15*,12.5,36,138.88,0,0,0,2,5
Harbhajan Singh,13,3,0,29,19,9.66,36,80.55,0,0,0,3,1
JW Hastings,1,-,-,-,-,-,-,-,-,-,-,-,-
ML Hayden,32,32,2,1107,93,36.9,805,137.51,0,8,1,121,44
BW Hilfenhaus,17,1,1,0,0*,-,0,-,0,0,0,0,0
JO Holder,6,-,-,-,-,-,-,-,-,-,-,-,-
DJ Hussey,5,4,2,116,50*,58,94,123.4,0,1,0,8,6
MEK Hussey,50,49,7,1768,116*,42.09,1430,123.63,1,13,1,181,45
Imran Tahir,6,1,1,2,2*,-,2,100,0,0,0,0,0
RA Jadeja,86,60,23,759,48,20.51,596,127.34,0,0,3,49,27
KM Jadhav,1,1,1,24,24*,-,22,109.09,0,0,0,1,2
SB Jakati,50,7,6,27,13,27,27,100,0,0,0,3,0
Joginder Sharma,16,6,2,36,16*,9,30,120,0,0,2,1,2
S Randiv,8,1,0,2,2,2,4,50,0,0,0,0,0
CK Kapugedera,5,3,0,16,8,5.33,23,69.56,0,0,1,0,0
JM Kemp,5,2,0,26,22,13,24,108.33,0,0,0,1,1
KMDN Kulasekara,6,1,1,5,5*,-,3,166.66,0,0,0,1,0
B Laughlin,2,2,1,4,4*,4,9,44.44,0,0,1,0,0
BB McCullum,28,28,2,841,100*,32.34,613,137.19,1,5,0,83,42
VY Mahesh,5,-,-,-,-,-,-,-,-,-,-,-,-
M Manhas,12,5,3,35,13*,17.5,23,152.17,0,0,0,3,1
RG More,2,1,1,2,2*,-,2,100,0,0,0,0,0
JA Morkel,78,59,24,827,71,23.62,571,144.83,0,2,3,51,48
CH Morris,16,6,4,14,7*,7,16,87.5,0,0,1,0,0
A Mukund,2,1,0,0,0,0,1,0,0,0,1,0,0
M Muralitharan,40,6,2,9,4,2.25,13,69.23,0,0,1,1,0
DP Nannes,5,1,1,0,0*,-,0,-,0,0,0,0,0
P Negi,12,9,1,116,36,14.5,73,158.9,0,0,0,10,5
A Nehra,20,4,3,1,1*,1,7,14.28,0,0,1,0,0
L Ngidi,7,-,-,-,-,-,-,-,-,-,-,-,-
M Ntini,9,2,1,11,11,11,18,61.11,0,0,0,2,0
JDP Oram,15,11,4,106,41*,15.14,105,100.95,0,0,0,6,5
IC Pandey,23,-,-,-,-,-,-,-,-,-,-,-,-
PA Patel,26,26,2,516,57,21.5,502,102.78,0,3,4,67,7
NLTC Perera,1,-,-,-,-,-,-,-,-,-,-,-,-
SK Raina,147,143,23,4144,100*,34.53,2982,138.96,1,29,7,367,162
AS Rajpoot,2,1,1,2,2*,-,6,33.33,0,0,0,0,0
AT Rayudu,16,16,2,602,100*,43,402,149.75,1,3,1,53,34
WP Saha,14,7,2,144,46*,28.8,133,108.27,0,0,0,8,8
V Shankar,1,-,-,-,-,-,-,-,-,-,-,-,-
KV Sharma,6,1,1,0,0*,-,0,-,0,0,0,0,0
MM Sharma,47,9,5,29,21*,7.25,26,111.53,0,0,3,1,2
DR Shorey,1,1,0,8,8,8,9,88.88,0,0,0,0,1
DR Smith,32,32,0,965,79,30.15,751,128.49,0,7,3,102,50
TG Southee,5,-,-,-,-,-,-,-,-,-,-,-,-
SB Styris,2,1,1,5,5*,-,2,250,0,0,0,1,0
SN Thakur,13,1,1,15,15*,-,5,300,0,0,0,3,0
T Thushara,6,4,2,12,8,6,18,66.66,0,0,0,0,0
S Tyagi,14,3,2,3,3*,3,4,75,0,0,1,0,0
S Vidyut,9,8,0,145,54,18.12,109,133.02,0,1,1,21,3
M Vijay,65,65,4,1612,127,26.42,1261,127.83,2,7,3,140,67
SR Watson,15,15,1,555,117*,39.64,359,154.59,2,2,1,44,35
DJ Willey,3,-,-,-,-,-,-,-,-,-,-,-,-
MA Wood,1,1,0,1,1,1,3,33.33,0,0,0,0,0
AN Ahmed,10,2,2,22,18*,-,20,110,0,0,0,1,1
CJ Anderson,16,15,3,379,95*,31.58,278,136.33,0,3,0,32,21
STR Binny,1,1,0,8,8,8,5,160,0,0,0,1,0
AC Blizzard,7,7,0,120,51,17.14,90,133.33,0,1,1,21,2
DJ Bravo,30,25,4,457,70*,21.76,390,117.17,0,3,0,38,17
JJ Bumrah,61,10,7,35,16*,11.66,37,94.59,0,0,2,2,1
JC Buttler,24,24,3,527,77,25.09,361,145.98,0,1,1,50,26
YS Chahal,1,-,-,-,-,-,-,-,-,-,-,-,-
UBT Chand,7,6,0,102,58,17,87,117.24,0,1,1,13,2
SD Chitnis,3,2,0,18,15,9,10,180,0,0,0,1,1
NM Coulter-Nile,1,1,0,9,9,9,6,150,0,0,0,0,1
BCJ Cutting,9,6,2,96,37,24,58,165.51,0,0,0,5,8
A Dananjaya,1,1,1,4,4*,-,5,80,0,0,0,0,0
M de Lange,2,1,0,1,1,1,2,50,0,0,0,0,0
R Dhawan,6,4,1,21,14,7,21,100,0,0,1,3,0
S Dhawan,15,14,0,231,56,16.5,215,107.44,0,2,1,26,3
JP Duminy,26,23,8,565,62,37.66,496,113.91,0,5,1,42,17
BR Dunk,3,3,0,40,20,13.33,35,114.28,0,0,0,7,0
CRD Fernando,10,2,2,4,2*,-,3,133.33,0,0,0,0,0
AJ Finch,3,3,1,23,10*,11.5,33,69.69,0,0,0,4,0
JEC Franklin,20,16,5,327,79,29.72,301,108.63,0,1,0,25,8
CM Gautam,9,9,2,121,33,17.28,111,109,0,0,0,13,5
HH Gibbs,3,3,1,81,66*,40.5,88,92.04,0,1,0,8,2
S Gopal,6,3,1,14,11,7,27,51.85,0,0,0,1,0
MJ Guptill,3,3,0,57,48,19,55,103.63,0,0,0,3,3
Harbhajan Singh,136,84,35,799,64,16.3,561,142.42,0,1,13,76,41
MEK Hussey,9,9,0,209,56,23.22,182,114.83,0,2,0,17,7
Ishan Kishan,14,12,0,275,62,22.91,184,149.45,0,2,3,22,17
DJ Jacobs,7,7,0,92,32,13.14,98,93.87,0,0,1,10,4
ST Jayasuriya,30,30,2,768,114*,27.42,532,144.36,1,4,2,84,39
MG Johnson,22,9,5,59,13*,14.75,53,111.32,0,0,0,3,3
KD Karthik,36,33,2,748,86,24.12,624,119.87,0,2,3,84,16
Z Khan,26,12,9,40,23*,13.33,31,129.03,0,0,1,3,2
MA Khote,4,3,1,24,9,12,22,109.09,0,0,0,2,1
DS Kulkarni,33,8,5,23,10*,7.66,42,54.76,0,0,0,2,0
P Kumar,3,1,0,1,1,1,2,50,0,0,0,0,0
RE Levi,6,6,0,83,50,13.83,73,113.69,0,1,2,10,4
E Lewis,13,13,0,382,65,29.38,276,138.4,0,2,2,32,24
MJ McClenaghan,51,20,10,74,20,7.4,54,137.03,0,0,5,3,7
CJ McKay,2,1,0,8,8,8,15,53.33,0,0,0,0,0
R McLaren,10,7,4,66,40,22,69,95.65,0,0,1,7,0
C Madan,1,1,0,15,15,15,19,78.94,0,0,0,3,0
SL Malinga,110,25,9,88,17,5.5,99,88.88,0,0,6,6,5
M Markande,14,6,4,21,7*,10.5,24,87.5,0,0,0,2,0
GJ Maxwell,3,3,1,36,23,18,27,133.33,0,0,1,1,4
Mohammad Ashraful,1,1,0,2,2,2,10,20,0,0,0,0,0
AG Murtaza,8,1,1,2,2*,-,5,40,0,0,0,0,0
Mustafizur Rahman,7,2,1,1,1,1,3,33.33,0,0,0,0,0
C Nanda,3,1,0,0,0,0,1,0,0,0,1,0,0
GR Napier,1,1,0,15,15,15,16,93.75,0,0,0,1,0
AM Nayar,30,24,5,457,45*,24.05,341,134.01,0,0,0,34,18
A Nehra,14,4,3,3,2*,3,13,23.07,0,0,1,0,0
A Nel,1,1,0,0,0,0,0,-,0,0,1,0,0
PP Ojha,38,9,5,10,3,2.5,26,38.46,0,0,1,0,0
JDP Oram,1,-,-,-,-,-,-,-,-,-,-,-,-
MK Pandey,3,2,0,3,3,1.5,9,33.33,0,0,1,0,0
HH Pandya,50,46,18,666,61*,23.78,480,138.75,0,2,2,44,39
KH Pandya,39,33,10,708,86,30.78,460,153.91,0,1,0,68,30
MM Patel,31,5,4,2,1*,2,8,25,0,0,1,0,0
PA Patel,40,40,1,911,81,23.35,691,131.83,0,5,5,119,17
RV Pawar,1,-,-,-,-,-,-,-,-,-,-,-,-
NLTC Perera,2,2,1,4,4*,4,9,44.44,0,0,1,0,0
RJ Peterson,5,5,2,32,16*,10.66,30,106.66,0,0,1,3,1
KA Pollard,132,121,33,2476,78,28.13,1699,145.73,0,13,3,167,154
SM Pollock,13,8,0,147,33,18.37,111,132.43,0,0,2,12,8
RT Ponting,6,5,0,52,28,10.4,75,69.33,0,0,1,3,1
RW Price,1,-,-,-,-,-,-,-,-,-,-,-,-
AM Rahane,10,9,1,148,62*,18.5,140,105.71,0,2,2,13,3
RR Raje,10,5,4,20,11*,20,18,111.11,0,0,0,1,1
N Rana,17,15,1,437,70,31.21,339,128.9,0,4,0,31,25
AT Rayudu,114,107,18,2416,81*,27.14,1915,126.16,0,14,9,205,79
L Ronchi,5,5,0,34,13,6.8,34,100,0,0,1,6,1
PJ Sangwan,1,1,0,0,0,0,4,0,0,0,1,0,0
K Santokie,2,-,-,-,-,-,-,-,-,-,-,-,-
R Sathish,21,14,5,137,24,15.22,130,105.38,0,0,1,12,0
PR Shah,14,9,2,87,29,12.42,86,101.16,0,0,1,8,2
RA Shaikh,1,-,-,-,-,-,-,-,-,-,-,-,-
KV Sharma,9,6,0,49,19,8.16,41,119.51,0,0,0,5,2
RG Sharma,128,124,21,3323,109*,32.26,2539,130.87,1,26,10,283,133
R Shukla,1,-,-,-,-,-,-,-,-,-,-,-,-
LMP Simmons,29,29,2,1079,100*,39.96,852,126.64,1,11,2,109,44
RP Singh,11,5,3,6,3,3,12,50,0,0,1,0,0
DR Smith,24,22,2,620,87*,31,479,129.43,0,5,2,63,27
TG Southee,14,5,1,37,25,9.25,22,168.18,0,0,0,1,3
J Suchith,14,6,5,48,34*,48,32,150,0,0,0,4,2
TL Suman,10,9,1,80,36,10,70,114.28,0,0,0,6,6
P Suyal,5,-,-,-,-,-,-,-,-,-,-,-,-
A Symonds,11,9,5,135,44*,33.75,138,97.82,0,0,0,9,3
YV Takawale,11,5,2,88,27,29.33,87,101.14,0,0,0,9,2
AP Tare,29,23,4,313,59,16.47,235,133.19,0,1,2,36,11
SR Tendulkar,78,78,11,2334,100*,34.83,1948,119.81,1,13,4,295,29
DJ Thornely,6,4,2,39,30,19.5,53,73.58,0,0,0,2,2
SS Tiwary,24,21,3,510,61,28.33,384,132.81,0,4,1,41,19
RV Uthappa,14,14,5,320,48,35.55,279,114.69,0,0,0,34,9
R Vinay Kumar,17,5,3,13,12,6.5,14,92.85,0,0,1,0,1
SA Yadav,15,15,0,512,72,34.13,388,131.95,0,4,2,61,16
VS Yeligati,2,1,0,2,2,2,2,100,0,0,0,0,0
UA Birla,2,1,0,7,7,7,14,50,0,0,0,1,0
MJ Clarke,6,6,0,98,41,16.33,94,104.25,0,0,0,12,0
AB Dinda,20,6,3,11,6*,3.66,16,68.75,0,0,2,1,0
JP Faulkner,1,-,-,-,-,-,-,-,-,-,-,-,-
CJ Ferguson,9,8,2,98,23,16.33,117,83.76,0,0,0,9,0
AJ Finch,14,14,0,456,67,32.57,336,135.71,0,4,1,54,16
SC Ganguly,19,18,1,318,45,18.7,330,96.36,0,0,1,33,6
RV Gomez,2,1,1,4,4*,-,1,400,0,0,0,1,0
Harpreet Singh,3,3,1,20,13,10,26,76.92,0,0,0,0,0
AA Jhunjhunwala,3,2,0,10,10,5,18,55.55,0,0,1,2,0
Kamran Khan,1,-,-,-,-,-,-,-,-,-,-,-,-
M Kartik,17,7,6,38,14*,38,36,105.55,0,0,0,2,1
B Kumar,31,19,9,93,24*,9.3,112,83.03,0,0,1,7,1
NL McCullum,2,2,1,26,15,26,22,118.18,0,0,0,0,1
AP Majumdar,4,4,0,87,31,21.75,76,114.47,0,0,0,7,2
M Manhas,23,19,5,247,42*,17.64,236,104.66,0,0,4,19,8
MR Marsh,14,11,2,190,38,21.11,155,122.58,0,0,0,8,13
AD Mathews,20,18,4,299,40,21.35,247,121.05,0,0,1,10,14
BAW Mendis,3,1,0,2,2,2,4,50,0,0,0,0,0
MD Mishra,7,6,1,71,37*,14.2,64,110.93,0,0,0,6,2
SS Mundhe,1,-,-,-,-,-,-,-,-,-,-,-,-
AG Murtaza,4,2,1,8,5,8,9,88.88,0,0,0,1,0
AM Nayar,11,9,3,66,25*,11,73,90.41,0,0,1,5,0
A Nehra,13,2,2,11,9*,-,12,91.66,0,0,0,1,0
TD Paine,2,2,0,10,8,5,26,38.46,0,0,0,0,0
IC Pandey,2,1,0,0,0,0,2,0,0,0,1,0,0
MK Pandey,27,25,3,525,80*,23.86,476,110.29,0,3,5,51,15
WD Parnell,18,11,3,61,16,7.62,73,83.56,0,0,0,4,1
Parvez Rasool,2,2,1,5,4*,5,9,55.55,0,0,0,0,0
S Rana,2,1,0,18,18,18,16,112.5,0,0,0,2,0
M Rawat,2,2,1,5,5,5,11,45.45,0,0,0,0,0
KW Richardson,3,2,0,34,26,17,36,94.44,0,0,0,2,1
JD Ryder,24,24,1,548,86,23.82,409,133.98,0,4,2,60,19
MN Samuels,10,10,1,132,46,14.66,141,93.61,0,0,0,8,5
R Sharma,36,16,5,37,13,3.36,49,75.51,0,0,7,2,2
GC Smith,4,4,0,42,24,10.5,51,82.35,0,0,1,6,0
SPD Smith,22,21,8,521,47*,40.07,399,130.57,0,0,0,39,18
TL Suman,7,5,0,52,23,10.4,58,89.65,0,0,1,8,0
JE Taylor,5,2,1,3,2,3,3,100,0,0,0,0,0
LRPL Taylor,5,5,0,63,19,12.6,76,82.89,0,0,0,2,1
AC Thomas,15,4,2,20,12,10,19,105.26,0,0,0,1,1
K Upadhyay,3,2,2,12,11*,-,9,133.33,0,0,0,0,1
RV Uthappa,46,45,4,1103,75,26.9,923,119.5,0,4,2,107,32
SB Wagh,7,2,0,2,2,1,3,66.66,0,0,1,0,0
LJ Wright,7,6,1,106,44,21.2,60,176.66,0,0,0,16,3
Yuvraj Singh,27,26,4,581,66*,26.4,451,128.82,0,2,1,38,33
S Ladda,1,-,-,-,-,-,-,-,-,-,-,-,-
AD Nath,5,4,0,20,12,5,28,71.42,0,0,1,1,0
SS Agarwal,1,-,-,-,-,-,-,-,-,-,-,-,-
Ankit Soni,7,3,1,7,7*,3.5,9,77.77,0,0,2,0,1
Basil Thampi,12,5,5,28,13*,-,28,100,0,0,0,1,1
DJ Bravo,15,13,5,99,22*,12.37,82,120.73,0,0,1,11,1
ER Dwivedi,4,2,0,24,19,12,14,171.42,0,0,0,2,2
JP Faulkner,15,11,4,131,32,18.71,116,112.93,0,0,0,11,0
AJ Finch,26,25,3,692,74,31.45,479,144.46,0,7,3,70,30
MS Gony,1,-,-,-,-,-,-,-,-,-,-,-,-
Ishan Kishan,16,15,0,319,61,21.26,247,129.14,0,1,1,34,13
RA Jadeja,27,25,12,349,36*,26.84,290,120.34,0,0,1,27,8
SB Jakati,8,1,1,1,1*,-,2,50,0,0,0,0,0
KD Karthik,30,28,5,696,65,30.26,525,132.57,0,5,2,68,14
S Kaushik,10,2,1,0,0*,0,1,0,0,0,1,0,0
DS Kulkarni,20,6,3,28,10,9.33,18,155.55,0,0,0,3,0
P Kumar,22,9,4,32,15,6.4,35,91.42,0,0,1,3,0
BB McCullum,27,27,0,673,72,24.92,479,140.5,0,3,1,67,34
MM Patel,2,1,0,0,0,0,1,0,0,0,1,0,0
IK Pathan,1,1,0,2,2,2,3,66.66,0,0,0,0,0
SK Raina,29,29,4,841,84,33.64,619,135.86,0,6,0,81,23
JJ Roy,3,3,1,59,31,29.5,40,147.5,0,0,0,9,1
PJ Sangwan,7,3,1,2,1*,1,4,50,0,0,1,0,0
NB Singh,2,-,-,-,-,-,-,-,-,-,-,-,-
DR Smith,24,24,2,563,74,25.59,377,149.33,0,5,3,67,24
DW Steyn,1,1,0,1,1,1,2,50,0,0,0,0,0
PV Tambe,7,1,1,7,7*,-,19,36.84,0,0,0,1,0
Tejas Baroka,1,-,-,-,-,-,-,-,-,-,-,-,-
AJ Tye,6,3,1,53,25,26.5,30,176.66,0,0,0,4,3
VR Aaron,6,2,1,4,4,4,10,40,0,0,0,0,0
KJ Abbott,5,3,2,13,12*,13,8,162.5,0,0,1,0,1
YA Abdulla,11,1,1,0,0*,-,1,0,0,0,0,0,0
L Ablish,3,1,1,0,0*,-,2,0,0,0,0,0,0
AD Nath,1,1,0,9,9,9,13,69.23,0,0,0,1,0
MA Agarwal,11,11,1,120,30,12,94,127.65,0,0,1,9,5
HM Amla,16,16,3,577,104*,44.38,407,141.76,2,3,2,60,21
Anureet Singh,17,7,3,33,15,8.25,43,76.74,0,0,2,2,1
R Ashwin,14,9,1,102,45,12.75,71,143.66,0,0,3,7,5
P Awana,33,7,5,5,4*,2.5,14,35.71,0,0,2,0,0
Azhar Mahmood,22,20,2,382,80,21.22,296,129.05,0,2,2,38,13
GJ Bailey,30,29,9,516,61*,25.8,380,135.78,0,2,0,41,17
L Balaji,9,2,1,1,1*,1,3,33.33,0,0,1,0,0
AB Barath,3,3,1,42,33,21,42,100,0,0,0,5,1
F Behardien,3,3,1,14,9*,7,13,107.69,0,0,1,2,0
BA Bhatt,17,2,1,6,6*,6,7,85.71,0,0,1,0,1
Bipul Sharma,15,9,5,104,35*,26,72,144.44,0,0,0,8,3
MS Bisla,10,10,0,218,75,21.8,178,122.47,0,1,1,27,6
RS Bopara,15,14,1,386,84,29.69,333,115.91,0,3,1,33,10
RR Bose,1,-,-,-,-,-,-,-,-,-,-,-,-
KC Cariappa,9,4,1,15,12*,5,18,83.33,0,0,0,0,1
PP Chawla,87,52,21,401,24*,12.93,355,112.95,0,0,7,36,12
SD Chitnis,7,5,1,75,38,18.75,71,105.63,0,0,0,8,1
P Dharmani,1,-,-,-,-,-,-,-,-,-,-,-,-
R Dhawan,20,13,9,132,25*,33,114,115.78,0,0,0,10,4
P Dogra,3,3,1,15,6,7.5,24,62.5,0,0,0,0,0
JP Faulkner,2,2,1,14,11*,14,13,107.69,0,0,0,0,0
AJ Finch,10,9,1,134,46,16.75,100,134,0,0,2,6,8
Gagandeep Singh,4,-,-,-,-,-,-,-,-,-,-,-,-
CH Gayle,11,11,2,368,104*,40.88,252,146.03,1,3,1,30,27
AC Gilchrist,34,34,3,849,106,27.38,667,127.28,1,4,3,103,28
K Goel,22,17,2,218,38,14.53,231,94.37,0,0,2,17,9
MS Gony,8,5,1,45,42,11.25,25,180,0,0,2,4,3
MJ Guptill,7,7,1,132,50*,22,88,150,0,1,1,17,5
Gurkeerat Singh,30,24,3,342,51,16.28,272,125.73,0,1,4,36,9
Harmeet Singh,10,3,1,18,14,9,11,163.63,0,0,0,3,0
RJ Harris,21,11,4,51,17,7.28,55,92.72,0,0,2,4,1
BE Hendricks,7,3,2,1,1*,1,3,33.33,0,0,1,0,0
MJ Henry,2,-,-,-,-,-,-,-,-,-,-,-,-
JR Hopes,11,11,0,221,71,20.09,148,149.32,0,2,1,27,8
DJ Hussey,36,34,6,695,68*,24.82,577,120.45,0,2,1,51,26
DPMD Jayawardene,36,35,12,837,110*,36.39,594,140.9,1,2,1,87,25
MG Johnson,26,19,10,92,16*,10.22,100,92,0,0,2,5,4
M Kaif,4,3,0,28,14,9.33,30,93.33,0,0,0,2,0
Karanveer Singh,9,4,3,12,5*,12,17,70.58,0,0,0,1,0
KD Karthik,14,13,2,282,69,25.63,220,128.18,0,1,1,32,7
M Kartik,2,-,-,-,-,-,-,-,-,-,-,-,-
SM Katich,11,11,1,241,75,24.1,186,129.56,0,2,1,25,8
U Kaul,5,1,1,0,0*,-,1,0,0,0,0,0,0
T Kohli,2,2,1,1,1,1,4,25,0,0,0,0,0
P Kumar,44,21,9,109,24,9.08,100,109,0,0,3,7,5
B Lee,13,10,6,56,16*,14,56,100,0,0,1,5,2
R McLaren,6,4,1,90,51*,30,96,93.75,0,1,0,7,1
VS Malik,9,1,0,6,6,6,5,120,0,0,0,1,0
Mandeep Singh,41,38,2,763,77*,21.19,632,120.72,0,3,4,95,8
SE Marsh,71,69,7,2477,115,39.95,1866,132.74,1,20,1,266,78
AD Mascarenhas,5,4,1,19,9,6.33,21,90.47,0,0,1,1,0
GJ Maxwell,52,51,5,1186,95,25.78,709,167.27,0,6,8,94,78
DA Miller,69,67,21,1637,101*,35.58,1169,140.03,1,8,1,107,80
EJG Morgan,4,4,0,65,26,16.25,62,104.83,0,0,0,6,2
WA Mota,12,8,2,56,25,9.33,75,74.66,0,0,0,2,0
Mujeeb Ur Rahman,11,2,1,10,10*,10,7,142.85,0,0,1,2,0
NS Naik,2,2,0,23,22,11.5,31,74.19,0,0,0,1,0
KK Nair,13,12,0,301,54,25.08,221,136.19,0,2,0,23,13
T Natarajan,6,-,-,-,-,-,-,-,-,-,-,-,-
AM Nayar,14,13,3,106,24,10.6,116,91.37,0,0,2,11,1
MG Neser,1,-,-,-,-,-,-,-,-,-,-,-,-
AR Patel,68,51,15,686,44,19.05,542,126.56,0,0,4,37,32
IK Pathan,42,35,11,603,60,25.12,460,131.08,0,1,1,47,22
NLTC Perera,2,2,0,12,9,6,15,80,0,0,0,0,1
LA Pomersbach,12,12,5,251,79*,35.85,207,121.25,0,1,0,21,11
RR Powar,22,7,5,56,28*,28,51,109.8,0,0,0,6,1
CA Pujara,6,6,1,125,40*,25,124,100.8,0,0,0,17,0
KL Rahul,14,14,2,659,95*,54.91,416,158.41,0,6,0,66,32
