VR Aaron,6,6,20,0,163,7,2/3,23.28,8.15,17.1,0,0,0,0
KJ Abbott,5,5,16,0,177,2,1/38,88.5,11.06,48,0,0,0,0
YA Abdulla,11,11,34.5,1,307,15,4/31,20.46,8.81,13.9,2,0,0,0
L Ablish,3,3,7,0,75,3,2/17,25,10.71,14,0,0,0,0
AD Nath,1,-,-,-,-,-,-,-,-,-,-,-,1,0
MA Agarwal,11,-,-,-,-,-,-,-,-,-,-,-,2,0
HM Amla,16,-,-,-,-,-,-,-,-,-,-,-,0,0
Anureet Singh,17,17,59.4,0,534,15,3/23,35.6,8.94,23.8,0,0,4,0
R Ashwin,14,14,50.4,0,410,10,2/18,41,8.09,30.4,0,0,5,0
P Awana,33,33,124.3,2,1029,39,4/34,26.38,8.26,19.1,1,0,4,0
Azhar Mahmood,22,22,86.3,0,659,29,3/20,22.72,7.61,17.8,0,0,8,0
GJ Bailey,30,-,-,-,-,-,-,-,-,-,-,-,9,0
L Balaji,9,9,34,0,299,12,4/13,24.91,8.79,17,1,0,0,0
AB Barath,3,-,-,-,-,-,-,-,-,-,-,-,0,0
F Behardien,3,-,-,-,-,-,-,-,-,-,-,-,1,0
BA Bhatt,17,15,49.2,0,397,12,4/22,33.08,8.04,24.6,1,0,1,0
Bipul Sharma,15,12,33.4,0,272,8,2/32,34,8.07,25.2,0,0,4,0
MS Bisla,10,-,-,-,-,-,-,-,-,-,-,-,4,0
RS Bopara,15,7,14.2,0,132,5,3/31,26.4,9.2,17.2,0,0,5,0
RR Bose,1,1,2,0,24,0,-,-,12,-,0,0,0,0
KC Cariappa,9,9,32,0,286,7,2/16,40.85,8.93,27.4,0,0,3,0
PP Chawla,87,87,297.2,2,2237,84,4/17,26.63,7.52,21.2,1,0,22,0
SD Chitnis,7,-,-,-,-,-,-,-,-,-,-,-,1,0
P Dharmani,1,-,-,-,-,-,-,-,-,-,-,-,0,0
R Dhawan,20,20,66.2,0,531,16,2/14,33.18,8,24.8,0,0,3,0
P Dogra,3,-,-,-,-,-,-,-,-,-,-,-,1,0
JP Faulkner,2,2,8,0,72,3,2/41,24,9,16,0,0,1,0
AJ Finch,10,-,-,-,-,-,-,-,-,-,-,-,4,0
Gagandeep Singh,4,4,14,0,141,3,1/33,47,10.07,28,0,0,0,0
CH Gayle,11,-,-,-,-,-,-,-,-,-,-,-,2,0
AC Gilchrist,34,1,0.1,0,0,1,1/0,0,0,1,0,0,26,3
K Goel,22,6,11,0,93,0,-,-,8.45,-,0,0,9,0
MS Gony,8,8,28,0,256,7,2/24,36.57,9.14,24,0,0,0,0
MJ Guptill,7,-,-,-,-,-,-,-,-,-,-,-,6,0
Gurkeerat Singh,30,6,13,0,97,5,2/15,19.4,7.46,15.6,0,0,13,1
Harmeet Singh,10,10,33.4,0,278,12,3/24,23.16,8.25,16.8,0,0,2,0
RJ Harris,21,21,77,1,584,25,4/34,23.36,7.58,18.4,1,0,10,0
BE Hendricks,7,7,25,0,235,9,3/36,26.11,9.4,16.6,0,0,3,0
MJ Henry,2,2,5,0,71,1,1/31,71,14.2,30,0,0,0,0
JR Hopes,11,11,28,0,276,7,2/2,39.42,9.85,24,0,0,3,0
DJ Hussey,36,12,23,0,192,4,2/2,48,8.34,34.5,0,0,14,0
DPMD Jayawardene,36,-,-,-,-,-,-,-,-,-,-,-,16,0
MG Johnson,26,26,100.2,1,886,28,2/19,31.64,8.83,21.5,0,0,5,0
M Kaif,4,-,-,-,-,-,-,-,-,-,-,-,2,0
Karanveer Singh,9,9,34,0,321,12,4/54,26.75,9.44,17,1,0,2,0
KD Karthik,14,-,-,-,-,-,-,-,-,-,-,-,7,0
M Kartik,2,2,8,0,91,1,1/51,91,11.37,48,0,0,1,0
SM Katich,11,-,-,-,-,-,-,-,-,-,-,-,2,0
U Kaul,5,-,-,-,-,-,-,-,-,-,-,-,2,0
T Kohli,2,-,-,-,-,-,-,-,-,-,-,-,0,0
P Kumar,44,44,165.2,10,1152,31,2/10,37.16,6.96,32,0,0,4,0
B Lee,13,13,50.3,1,372,9,3/15,41.33,7.36,33.6,0,0,6,0
R McLaren,6,6,18,0,178,5,2/33,35.6,9.88,21.6,0,0,2,0
VS Malik,9,9,21.1,0,173,3,1/12,57.66,8.17,42.3,0,0,1,0
Mandeep Singh,41,-,-,-,-,-,-,-,-,-,-,-,13,0
SE Marsh,71,-,-,-,-,-,-,-,-,-,-,-,26,0
AD Mascarenhas,5,5,20,0,130,7,5/25,18.57,6.5,17.1,0,1,2,0
GJ Maxwell,52,29,49,0,434,10,2/15,43.4,8.85,29.4,0,0,21,0
DA Miller,69,-,-,-,-,-,-,-,-,-,-,-,42,0
EJG Morgan,4,-,-,-,-,-,-,-,-,-,-,-,3,0
WA Mota,12,7,12,0,97,4,1/6,24.25,8.08,18,0,0,5,0
Mujeeb Ur Rahman,11,11,41.2,0,289,14,3/27,20.64,6.99,17.7,0,0,1,0
NS Naik,2,-,-,-,-,-,-,-,-,-,-,-,2,0
KK Nair,13,-,-,-,-,-,-,-,-,-,-,-,9,0
T Natarajan,6,6,12.4,0,115,2,1/26,57.5,9.07,38,0,0,0,0
AM Nayar,14,7,11.1,0,111,2,1/22,55.5,9.94,33.5,0,0,2,0
MG Neser,1,1,4,0,62,0,-,-,15.5,-,0,0,0,0
AR Patel,68,67,234.3,2,1765,61,4/21,28.93,7.52,23,1,0,25,0
IK Pathan,42,42,149.4,3,1166,47,3/24,24.8,7.79,19.1,0,0,12,0
NLTC Perera,2,2,6,0,55,1,1/33,55,9.16,36,0,0,0,0
LA Pomersbach,12,-,-,-,-,-,-,-,-,-,-,-,2,0
RR Powar,22,21,59,0,415,11,2/11,37.72,7.03,32.1,0,0,5,0
CA Pujara,6,-,-,-,-,-,-,-,-,-,-,-,0,0
KL Rahul,14,-,-,-,-,-,-,-,-,-,-,-,10,1
AS Rajpoot,8,8,26.1,1,223,11,5/14,20.27,8.52,14.2,0,1,2,0
NJ Rimmington,1,1,3,0,19,0,-,-,6.33,-,0,0,0,0
WP Saha,57,-,-,-,-,-,-,-,-,-,-,-,36,12
P Sahu,5,5,17.3,0,146,3,2/18,48.66,8.34,35,0,0,0,0
N Saini,10,-,-,-,-,-,-,-,-,-,-,-,11,2
Sandeep Sharma,56,56,204.1,8,1587,71,4/20,22.35,7.77,17.2,2,0,8,0
KC Sangakkara,37,-,-,-,-,-,-,-,-,-,-,-,16,7
RR Sarwan,4,-,-,-,-,-,-,-,-,-,-,-,1,0
R Sathish,9,3,4,0,51,0,-,-,12.75,-,0,0,0,0
V Sehwag,25,-,-,-,-,-,-,-,-,-,-,-,5,0
I Sharma,6,6,18,0,179,0,-,-,9.94,-,0,0,0,0
MM Sharma,37,37,123.5,0,1139,33,3/23,34.51,9.19,22.5,0,0,8,0
Shivam Sharma,5,5,19,0,165,4,2/26,41.25,8.68,28.5,0,0,1,0
VRV Singh,19,18,60,0,542,12,3/29,45.16,9.03,30,0,0,3,0
RS Sodhi,3,-,-,-,-,-,-,-,-,-,-,-,2,0
S Sohal,11,-,-,-,-,-,-,-,-,-,-,-,2,0
BB Sran,6,6,22,0,229,4,2/50,57.25,10.4,33,0,0,2,0
S Sreesanth,28,28,93.1,0,825,28,3/29,29.46,8.85,19.9,0,0,2,0
SJ Srivastava,14,14,47,0,441,14,2/20,31.5,9.38,20.1,0,0,3,0
TM Srivastava,7,-,-,-,-,-,-,-,-,-,-,-,2,0
MP Stoinis,19,18,44.3,0,424,13,4/15,32.61,9.52,20.5,1,0,5,0
Sunny Singh,6,-,-,-,-,-,-,-,-,-,-,-,1,0
Swapnil Singh,5,5,10,0,90,1,1/14,90,9,60,0,0,1,0
R Tewatia,3,3,9,0,49,3,2/18,16.33,5.44,18,0,0,0,0
SN Thakur,1,1,3,0,38,1,1/38,38,12.66,18,0,0,0,0
J Theron,7,7,24,0,187,6,2/17,31.16,7.79,24,0,0,1,0
MK Tiwary,5,1,1,0,10,0,-,-,10,-,0,0,4,0
AJ Tye,14,14,56,0,448,24,4/16,18.66,8,14,3,0,5,0
PC Valthaty,21,10,25.1,0,205,7,4/29,29.28,8.14,21.5,1,0,3,0
M Vijay,25,3,5,0,36,0,-,-,7.2,-,0,0,6,0
M Vohra,45,-,-,-,-,-,-,-,-,-,-,-,13,0
Yuvraj Singh,51,27,54,0,400,14,3/13,28.57,7.4,23.1,0,0,15,0
